Wall time,Step,Value
1732685783.3777645,98304,-14.79008674621582
1732685818.8744464,196608,-14.60928726196289
1732685854.0124478,294912,-14.674386978149414
1732685889.164924,393216,-14.731586456298828
1732685924.7085562,491520,-14.208587646484375
1732685960.143316,589824,-14.23498821258545
1732685995.6327734,688128,-14.503386497497559
1732686031.105334,786432,-14.61498737335205
1732686066.443287,884736,-14.344887733459473
1732686101.7340322,983040,-14.384587287902832
1732686136.9581845,1081344,-14.483285903930664
1732686172.220238,1179648,-14.359787940979004
1732686207.497928,1277952,-13.998588562011719
1732686242.6426046,1376256,-13.647287368774414
1732686277.8361945,1474560,-13.558088302612305
1732686312.8255045,1572864,-13.825788497924805
1732686347.887604,1671168,-14.169286727905273
1732686382.9643593,1769472,-13.488288879394531
1732686417.7750034,1867776,-12.579889297485352
1732686452.6500075,1966080,-14.192386627197266
1732686487.62829,2064384,-13.183889389038086
1732686522.5204504,2162688,-12.87328815460205
1732686557.3828793,2260992,-13.3552885055542
1732686592.233308,2359296,-13.068188667297363
1732686627.0976853,2457600,-12.677288055419922
1732686661.926522,2555904,-13.439388275146484
1732686696.758059,2654208,-12.230888366699219
1732686731.5567968,2752512,-11.847990989685059
1732686766.2434936,2850816,-12.610189437866211
1732686800.9616787,2949120,-12.8364896774292
1732686835.6648004,3047424,-13.146889686584473
1732686870.4709103,3145728,-12.819489479064941
1732686905.1375713,3244032,-12.20458984375
1732686939.6296606,3342336,-12.145489692687988
1732686974.100261,3440640,-12.713687896728516
1732687008.6482723,3538944,-12.694989204406738
1732687043.1779234,3637248,-11.835289001464844
1732687077.7286954,3735552,-11.402190208435059
1732687112.3018138,3833856,-12.058388710021973
1732687146.7103074,3932160,-12.46759033203125
1732687181.1948571,4030464,-12.563189506530762
1732687215.59403,4128768,-12.53948974609375
1732687250.0725846,4227072,-11.583990097045898
1732687284.3628464,4325376,-12.316289901733398
1732687318.8369508,4423680,-12.969388008117676
1732687353.2718441,4521984,-12.187490463256836
1732687387.6961758,4620288,-12.35158920288086
1732687421.9676309,4718592,-11.720688819885254
1732687456.4238095,4816896,-12.19788932800293
1732687491.2389936,4915200,-12.326889991760254
1732687526.2502694,5013504,-12.249988555908203
1732687561.116785,5111808,-12.555389404296875
1732687595.9258897,5210112,-12.024489402770996
1732687630.568528,5308416,-11.764789581298828
1732687665.5605936,5406720,-12.112090110778809
1732687701.012641,5505024,-12.518889427185059
1732687736.1701646,5603328,-12.754589080810547
1732687771.618871,5701632,-13.028787612915039
1732687806.342325,5799936,-12.597989082336426
1732687841.0671234,5898240,-12.369489669799805
