Wall time,Step,Value
1731867060.105198,12288,1.2999999523162842
1731867077.60048,24576,1.8700000047683716
1731867095.0408936,36864,2.450000047683716
1731867112.1451733,49152,3.75
1731867129.877545,61440,4.329999923706055
1731867147.0124936,73728,5.619999885559082
1731867164.1761777,86016,6.730000019073486
1731867181.6720133,98304,7.300000190734863
1731867198.8346486,110592,7.920000076293945
1731867216.1501274,122880,9.199999809265137
1731867233.5318487,135168,9.869999885559082
1731867250.6591532,147456,10.529999732971191
1731867268.1042037,159744,11.109999656677246
1731867285.2355258,172032,11.550000190734863
1731867302.3277962,184320,11.739999771118164
1731867319.8221166,196608,11.90999984741211
1731867337.0230951,208896,12.329999923706055
1731867354.3874457,221184,12.859999656677246
1731867372.052924,233472,13.260000228881836
1731867389.218927,245760,13.09000015258789
1731867406.6703742,258048,12.920000076293945
1731867424.1705968,270336,13.050000190734863
1731867441.5522923,282624,12.699999809265137
1731867459.0933456,294912,11.4399995803833
1731867476.291793,307200,10.949999809265137
1731867493.5121672,319488,11.199999809265137
1731867510.6683614,331776,10.960000038146973
1731867527.9339993,344064,11.350000381469727
1731867545.1335962,356352,11.880000114440918
1731867562.7971754,368640,11.609999656677246
1731867580.29555,380928,11.949999809265137
1731867597.5166051,393216,12.4399995803833
1731867615.2422638,405504,12.899999618530273
1731867632.7943013,417792,13.010000228881836
1731867649.8964415,430080,12.90999984741211
1731867667.1803834,442368,12.65999984741211
1731867684.410035,454656,12.399999618530273
1731867701.9110723,466944,11.920000076293945
1731867719.4156532,479232,11.329999923706055
1731867736.532904,491520,10.350000381469727
1731867753.8965726,503808,10.899999618530273
1731867771.2671223,516096,12.100000381469727
1731867789.0885015,528384,12.420000076293945
1731867806.2626054,540672,12.130000114440918
1731867823.5552576,552960,11.640000343322754
1731867840.7866704,565248,11.529999732971191
1731867858.1786056,577536,10.90999984741211
1731867875.8929067,589824,10.020000457763672
1731867892.9484615,602112,9.460000038146973
1731867909.9651234,614400,9.779999732971191
1731867927.209807,626688,10.6899995803833
1731867944.521852,638976,11.130000114440918
1731867962.306245,651264,11.649999618530273
1731867979.633591,663552,11.779999732971191
1731867997.1103828,675840,12.149999618530273
1731868014.688306,688128,12.140000343322754
1731868032.5349805,700416,12.510000228881836
1731868050.2821934,712704,13.130000114440918
1731868068.0047488,724992,12.600000381469727
1731868085.8874109,737280,12.829999923706055
1731868103.2723901,749568,12.789999961853027
1731868120.687671,761856,13.0600004196167
