Wall time,Step,Value
1731864263.7097902,12288,1.5800000429153442
1731864310.0572443,24576,1.8899999856948853
1731864354.5833852,36864,2.7300000190734863
1731864398.10135,49152,3.6500000953674316
1731864441.6994672,61440,4.71999979019165
1731864485.3562324,73728,5.559999942779541
1731864528.8220606,86016,6.610000133514404
1731864572.4622006,98304,7.559999942779541
1731864615.878681,110592,8.0600004196167
1731864659.7473543,122880,8.170000076293945
1731864703.407999,135168,9.550000190734863
1731864746.86007,147456,10.819999694824219
1731864790.415148,159744,11.210000038146973
1731864833.7179391,172032,11.710000038146973
1731864877.2210782,184320,12.430000305175781
1731864920.698926,196608,12.600000381469727
1731864964.3241286,208896,12.15999984741211
1731865007.9589546,221184,11.859999656677246
1731865052.099457,233472,12.979999542236328
1731865096.0597832,245760,13.210000038146973
1731865139.6414394,258048,12.329999923706055
1731865183.0956073,270336,11.5600004196167
1731865226.6667013,282624,11.15999984741211
1731865269.9652267,294912,10.979999542236328
1731865313.7780848,307200,11.449999809265137
1731865357.4339445,319488,11.890000343322754
1731865401.922121,331776,11.9399995803833
1731865445.8040197,344064,12.239999771118164
1731865489.5582957,356352,12.699999809265137
1731865533.1735086,368640,13.229999542236328
1731865576.8430054,380928,13.859999656677246
1731865620.3474677,393216,14.0
1731865663.9417486,405504,14.109999656677246
1731865707.4091127,417792,14.3100004196167
1731865751.131068,430080,14.130000114440918
1731865794.6471295,442368,13.970000267028809
1731865838.3995523,454656,14.550000190734863
1731865881.8898554,466944,14.789999961853027
1731865925.5076058,479232,14.510000228881836
1731865969.027261,491520,14.460000038146973
1731866012.409475,503808,14.3100004196167
1731866055.9189644,516096,13.1899995803833
1731866099.443107,528384,12.779999732971191
1731866142.9217093,540672,13.40999984741211
1731866186.2341223,552960,13.699999809265137
1731866230.1094146,565248,14.039999961853027
1731866274.1886146,577536,14.680000305175781
1731866318.0022278,589824,14.6899995803833
1731866361.8402145,602112,14.489999771118164
1731866405.5468912,614400,13.800000190734863
1731866449.277306,626688,13.800000190734863
1731866492.6513417,638976,13.890000343322754
1731866536.0328834,651264,12.079999923706055
1731866579.4977202,663552,11.15999984741211
1731866623.5901659,675840,11.449999809265137
1731866667.4236941,688128,11.369999885559082
1731866710.9827785,700416,11.220000267028809
1731866754.3499606,712704,10.970000267028809
1731866798.0231752,724992,11.640000343322754
1731866841.451776,737280,12.479999542236328
1731866884.673075,749568,12.890000343322754
1731866928.611497,761856,12.680000305175781
